               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092356,            0.039137,                   0,           0.0063188,             0.83206,             0.02013,           0.0052665,            0.093465,            0.028138,                   0,              0.0775,              0.0025,              0.0025
                   1,            0.067182,            0.039169,                   0,            0.041183,             0.11832,            0.023562,           0.0079195,            0.076512,            0.024757,                   0,             0.05405,           0.0050495,           0.0050495
                   2,             0.06958,            0.031894,                   0,             0.65697,             0.55344,             0.60191,             0.28471,            0.053716,            0.020329,                   0,            0.030548,           0.0075475,           0.0075475
                   3,            0.064884,            0.026911,                   0,             0.66443,             0.61069,             0.67865,             0.18494,            0.058561,            0.017921,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.059033,            0.024479,                   0,             0.62103,             0.59924,             0.71984,             0.26367,            0.053019,            0.015488,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.051358,            0.024517,                   0,             0.74681,               0.698,             0.82194,             0.38625,            0.041159,            0.016681,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.044021,            0.024023,                   0,             0.78001,             0.52672,             0.58554,             0.24172,            0.050898,            0.020248,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.040518,            0.020529,                   0,             0.80971,             0.81679,             0.88803,              0.4695,            0.032829,             0.01598,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.035809,             0.02005,                   0,             0.83989,             0.68076,             0.79556,             0.40514,            0.037366,            0.018007,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.034693,            0.019194,                   0,             0.95476,             0.96661,             0.98386,             0.62297,            0.026579,            0.011547,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.034861,            0.019427,                   0,             0.90995,             0.95802,             0.97577,             0.61652,            0.028997,            0.011804,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.033536,            0.018288,                   0,             0.90337,              0.9771,             0.97356,             0.63814,             0.02292,            0.011825,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.033492,             0.01977,                   0,             0.90788,             0.96947,             0.97941,             0.62318,             0.02971,            0.011156,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.030795,            0.018185,                   0,              0.9411,             0.98092,             0.98773,             0.60322,            0.024615,            0.011019,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.029888,            0.016627,                   0,             0.91481,             0.94269,             0.97345,             0.60334,            0.025385,            0.012056,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.030366,            0.017354,                   0,             0.91972,             0.91824,             0.97394,             0.64655,            0.022812,            0.011805,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.028397,            0.018347,                   0,             0.93956,             0.96565,             0.97199,             0.62366,            0.026819,            0.012178,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.028278,            0.018114,                   0,             0.93982,             0.89402,             0.96994,              0.6248,             0.02367,             0.01177,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.027033,            0.017451,                   0,             0.86474,             0.36603,             0.57603,             0.32696,            0.037514,             0.03058,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.028346,            0.017363,                   0,             0.95302,             0.93893,             0.97811,             0.56109,            0.026763,             0.01138,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.027678,            0.017867,                   0,             0.94312,             0.93893,             0.98041,             0.64253,            0.022648,            0.012022,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.029543,            0.019176,                   0,             0.92934,             0.91985,             0.96541,             0.63445,             0.02404,            0.012537,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.025694,            0.017379,                   0,             0.92206,             0.91603,             0.95875,             0.62046,             0.02421,            0.013599,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.025768,            0.016236,                   0,             0.91289,             0.66794,             0.84217,             0.50441,            0.030212,            0.023745,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.026545,            0.016497,                   0,             0.90866,             0.95038,             0.96591,             0.63472,            0.023285,            0.012566,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.027625,            0.017554,                   0,             0.93572,             0.93893,             0.97449,             0.62346,            0.022354,            0.011171,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.025303,            0.016309,                   0,             0.86094,             0.77979,             0.88314,             0.54488,            0.028252,            0.022562,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.025022,            0.017281,                   0,              0.8846,             0.87774,             0.95345,             0.57472,            0.026275,            0.014862,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.024674,            0.017278,                   0,             0.92288,             0.95915,             0.97914,             0.63128,            0.022547,            0.011241,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.024539,            0.017025,                   0,              0.9447,             0.91284,             0.97108,             0.63752,            0.022479,            0.011496,                   0,            0.007228,            0.007228,            0.007228
