               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1009,            0.040542,                   0,           0.0026087,             0.34351,           0.0035549,           0.0010025,            0.083459,            0.023818,                   0,              0.0775,              0.0025,              0.0025
                   1,            0.074956,            0.036338,                   0,             0.12462,             0.39313,            0.096773,            0.024641,             0.06097,            0.025609,                   0,             0.05405,           0.0050495,           0.0050495
                   2,            0.071047,            0.030481,                   0,           0.0047246,             0.62214,           0.0096136,           0.0027819,            0.070165,            0.026541,                   0,            0.030548,           0.0075475,           0.0075475
                   3,            0.070004,             0.03053,                   0,            0.047158,            0.083969,            0.011802,           0.0045176,            0.066469,            0.033077,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.063198,            0.026133,                   0,             0.40124,             0.52672,             0.42758,             0.18217,            0.049873,            0.024775,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.060134,            0.025127,                   0,             0.82677,             0.70229,             0.79558,             0.41544,            0.047264,            0.023587,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.053434,            0.022383,                   0,             0.61071,             0.38931,             0.43371,             0.17461,            0.051058,            0.027917,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.048297,            0.021815,                   0,             0.85739,             0.84904,             0.92316,             0.48711,            0.036355,            0.014369,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.040942,            0.021105,                   0,              0.8034,             0.83969,             0.88722,             0.46721,            0.034731,            0.014634,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.037872,            0.021287,                   0,             0.48644,             0.24427,             0.27756,             0.13524,            0.046754,            0.033468,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039142,            0.021426,                   0,              0.8485,             0.76336,             0.87714,             0.49494,            0.032218,            0.019045,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.034234,            0.021775,                   0,             0.84585,             0.83969,             0.88077,             0.50012,            0.032974,            0.021949,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.034131,            0.019549,                   0,             0.85545,             0.92366,             0.94106,             0.49365,            0.032965,            0.013007,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033234,            0.019903,                   0,             0.90093,              0.9372,             0.96241,              0.5186,            0.029639,            0.012176,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.031057,            0.020275,                   0,             0.79518,              0.5631,             0.65774,             0.25062,            0.036926,            0.028558,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.032369,            0.019068,                   0,             0.86841,              0.9572,             0.96379,             0.56871,            0.027621,            0.012324,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.03104,            0.018267,                   0,             0.96057,             0.92989,             0.98303,              0.6155,            0.026753,            0.011312,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.031746,            0.018292,                   0,             0.89296,             0.79389,             0.91786,             0.50294,             0.03292,            0.022768,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.030889,            0.019453,                   0,              0.8462,               0.819,             0.89919,             0.41431,            0.033656,            0.019468,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.029908,             0.01937,                   0,             0.92743,             0.92677,              0.9755,             0.54545,            0.029469,            0.011975,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.028795,            0.018178,                   0,             0.89638,             0.95755,             0.96911,             0.62142,            0.025933,            0.013353,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.029509,            0.018945,                   0,             0.93094,             0.93893,             0.97313,             0.63304,             0.02532,            0.011809,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.030767,             0.01948,                   0,             0.90905,             0.86641,             0.94333,             0.49047,            0.028355,            0.015533,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.027198,             0.01815,                   0,              0.9421,             0.96183,             0.98638,             0.65205,            0.024472,            0.010889,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.029077,            0.019127,                   0,             0.91635,             0.87803,             0.94868,             0.55384,            0.028223,            0.018725,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.02703,            0.018294,                   0,             0.92693,             0.90076,             0.96122,             0.63304,            0.024119,            0.013157,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.026592,            0.018754,                   0,             0.94686,             0.95211,             0.98237,             0.67409,            0.022473,             0.01067,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.026323,            0.018052,                   0,                0.94,             0.96947,             0.98418,             0.65421,            0.022761,            0.010614,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.029129,            0.018073,                   0,              0.9517,              0.9542,             0.98781,             0.61957,             0.02484,            0.010475,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.02779,            0.017806,                   0,             0.94023,              0.9542,             0.98083,             0.64995,            0.021649,            0.011084,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.027308,            0.018009,                   0,             0.92592,             0.95413,             0.98207,             0.62273,            0.022984,            0.010955,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026101,            0.017221,                   0,             0.94808,             0.93893,             0.98034,             0.62811,            0.022584,            0.011166,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.025916,            0.017711,                   0,              0.9431,             0.94656,             0.98541,             0.67089,            0.021045,            0.010917,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.025555,            0.020965,                   0,             0.92942,             0.95802,             0.98308,             0.62334,            0.022937,            0.011409,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.026748,            0.017142,                   0,              0.9538,             0.96565,             0.98259,             0.58257,             0.02554,            0.010857,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.026543,            0.017075,                   0,             0.91136,             0.90258,              0.9594,             0.63978,             0.02219,            0.013904,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.025189,            0.017262,                   0,             0.93439,             0.93511,             0.97798,             0.57504,            0.025698,            0.011365,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.026652,            0.017127,                   0,             0.93565,             0.94346,             0.98223,             0.61469,            0.023317,            0.011134,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.028863,            0.017453,                   0,             0.92431,             0.94275,             0.97725,             0.59847,            0.023862,            0.011744,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.025815,            0.016622,                   0,             0.91914,             0.95449,             0.97887,             0.56739,            0.024561,            0.012134,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026303,             0.01742,                   0,             0.93485,             0.92748,             0.97386,             0.63802,            0.021961,            0.011675,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.025202,            0.016781,                   0,             0.94635,             0.92366,             0.97476,             0.63114,            0.021863,            0.010744,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.025581,            0.018299,                   0,               0.917,             0.96989,             0.97931,              0.6545,            0.021709,            0.010863,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.02447,            0.017481,                   0,             0.93333,              0.9617,             0.98483,              0.6619,            0.021197,            0.010523,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.024367,            0.017401,                   0,             0.94325,              0.9313,             0.98076,             0.59052,            0.022779,            0.010774,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025233,            0.018296,                   0,             0.90464,             0.90518,             0.94716,             0.56931,             0.02518,            0.016716,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024588,            0.017847,                   0,             0.95016,             0.94597,             0.98533,             0.64092,            0.022499,            0.010439,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.024229,            0.018362,                   0,             0.95472,             0.88515,              0.9688,             0.63109,            0.022142,            0.011579,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024359,            0.017388,                   0,             0.94967,             0.93625,             0.97738,             0.64666,            0.022304,            0.011298,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024604,            0.018007,                   0,             0.91816,             0.93893,             0.97296,             0.64551,            0.022301,            0.011502,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024788,            0.017215,                   0,             0.92476,             0.93818,             0.97286,             0.63129,            0.021514,            0.011943,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.023446,            0.017259,                   0,             0.93102,             0.97884,             0.98158,             0.65636,            0.021518,            0.010366,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023042,            0.016546,                   0,             0.92773,             0.96183,             0.98358,             0.60068,            0.023709,            0.010832,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023573,            0.017927,                   0,             0.93698,             0.96565,             0.98377,             0.63718,             0.02186,            0.010439,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023965,            0.016967,                   0,              0.9039,             0.96947,             0.97943,             0.65094,            0.021498,            0.010813,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025043,            0.017354,                   0,             0.93655,             0.95769,             0.98367,             0.59597,              0.0236,            0.010644,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.023159,            0.017651,                   0,             0.95054,             0.96947,             0.98693,             0.66151,            0.021197,            0.010671,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.022573,            0.016266,                   0,             0.95197,             0.93893,             0.98391,             0.62063,            0.021406,            0.010977,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.024697,            0.016981,                   0,             0.94645,             0.95802,             0.98437,             0.65695,            0.021974,            0.010732,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023755,            0.016907,                   0,             0.93988,             0.95464,             0.98545,             0.66477,            0.020717,            0.010377,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022673,            0.016115,                   0,             0.93279,             0.96183,              0.9857,             0.59896,            0.023893,            0.010779,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.02333,            0.016586,                   0,             0.94441,             0.97274,             0.98659,             0.61351,            0.023173,            0.010554,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022587,            0.017053,                   0,             0.95381,             0.94578,             0.98407,             0.65986,            0.020776,            0.010458,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023394,            0.016371,                   0,             0.95869,             0.93893,             0.98412,             0.66542,            0.021055,            0.010544,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.023044,             0.01617,                   0,             0.95298,             0.95802,             0.98647,             0.66485,            0.020298,            0.010425,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022348,            0.015671,                   0,             0.95793,             0.95589,             0.98766,             0.66552,            0.020902,            0.010248,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022894,            0.015838,                   0,             0.91512,             0.90529,             0.94605,             0.60602,            0.022505,            0.014321,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.022814,            0.016132,                   0,             0.95057,             0.95429,             0.98678,             0.64818,            0.021854,            0.010358,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.02301,            0.016138,                   0,             0.94205,             0.93074,             0.97308,              0.6546,            0.020938,            0.011534,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021931,             0.01631,                   0,             0.93967,              0.9542,              0.9833,             0.62011,             0.02322,            0.010836,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021078,            0.016154,                   0,             0.94617,             0.93914,             0.98183,             0.66316,            0.020672,            0.010752,                   0,            0.003169,            0.003169,            0.003169
