               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095615,            0.043222,                   0,           0.0046377,             0.61069,           0.0047052,           0.0016001,            0.090309,            0.032025,                   0,              0.0775,              0.0025,              0.0025
                   1,            0.080991,            0.042463,                   0,           0.0049855,             0.65649,           0.0053071,           0.0019878,            0.072015,            0.034207,                   0,             0.05405,           0.0050495,           0.0050495
                   2,            0.075254,            0.044543,                   0,           0.0053913,             0.70992,           0.0052647,           0.0016354,            0.067552,             0.03515,                   0,            0.030548,           0.0075475,           0.0075475
                   3,            0.071435,            0.047536,                   0,           0.0063768,             0.83969,            0.021122,           0.0053558,            0.068318,            0.034253,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.070509,            0.046233,                   0,           0.0068406,             0.90076,            0.052066,            0.012462,            0.069439,            0.033918,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.069294,            0.048724,                   0,             0.13086,            0.064885,            0.052662,            0.016083,             0.06616,            0.033149,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.068327,            0.044543,                   0,             0.35643,             0.14122,             0.13443,            0.042902,            0.062484,            0.033025,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.068394,            0.041872,                   0,             0.10081,             0.18321,            0.066591,            0.030498,            0.059085,            0.033207,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.065052,            0.045197,                   0,            0.040927,             0.18812,            0.039312,            0.014458,            0.063247,             0.03116,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.066239,            0.040861,                   0,             0.68617,             0.48855,             0.55095,             0.22902,            0.059098,            0.028375,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.062662,            0.042741,                   0,             0.49503,             0.60615,             0.47233,             0.21216,            0.057369,            0.026224,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.063343,            0.038796,                   0,            0.071172,             0.85115,            0.067293,            0.031825,            0.058212,             0.13284,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.061053,            0.040595,                   0,             0.13063,             0.70992,             0.12198,            0.059434,            0.059738,            0.046453,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.05812,            0.038359,                   0,             0.75382,             0.64504,             0.75294,             0.38408,            0.054975,            0.025885,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.056421,             0.03483,                   0,             0.70729,             0.77099,             0.78983,              0.4013,            0.055901,            0.028142,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.055534,            0.034541,                   0,             0.83741,             0.79008,             0.86807,             0.46658,            0.050364,            0.030035,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.054708,            0.034551,                   0,             0.44493,             0.21417,             0.23686,            0.096579,            0.054448,            0.074628,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.052691,             0.03424,                   0,             0.92273,             0.85496,             0.93938,              0.5582,            0.044275,            0.023153,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.051596,            0.031916,                   0,             0.85655,             0.77099,             0.86381,             0.47897,            0.048836,            0.021291,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.048633,            0.030319,                   0,             0.87539,             0.72137,             0.82615,             0.45182,            0.050939,            0.020763,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.050538,            0.030352,                   0,             0.79097,             0.70992,             0.76038,             0.34108,            0.052654,            0.020686,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.048339,            0.028556,                   0,             0.21949,             0.25573,             0.19577,            0.061736,            0.055453,            0.045662,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.048288,            0.027397,                   0,             0.11942,             0.17176,            0.064927,             0.02112,            0.062648,            0.049447,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.047615,             0.03097,                   0,             0.91077,             0.85712,             0.91998,             0.51558,            0.042844,            0.019722,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.046311,            0.028827,                   0,              0.9134,             0.90076,             0.95723,             0.58145,            0.039596,            0.016621,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.044419,            0.028072,                   0,             0.52166,             0.50382,             0.52653,             0.22787,             0.04901,            0.048809,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.045065,            0.026797,                   0,             0.91269,             0.90076,             0.93619,             0.46366,            0.040554,            0.016347,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.042491,            0.027221,                   0,             0.87176,             0.87405,              0.9269,             0.54683,            0.038828,            0.017676,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.043983,            0.026362,                   0,             0.86485,              0.8855,             0.92719,             0.50402,            0.038055,              0.0174,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.042106,             0.02683,                   0,             0.94949,             0.87786,             0.95834,             0.54219,            0.038373,            0.016117,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.041011,            0.025692,                   0,              0.8908,             0.79771,             0.88562,             0.40066,            0.051512,             0.02027,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.041129,            0.025544,                   0,             0.87226,             0.81298,             0.90315,             0.46545,            0.040101,            0.019763,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.041089,            0.024932,                   0,            0.046474,             0.20229,             0.03124,           0.0088013,            0.072065,             0.05117,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.041303,            0.024644,                   0,             0.69793,             0.69466,             0.74432,             0.33282,            0.055288,             0.02397,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.038059,            0.025092,                   0,             0.12936,             0.55344,             0.13869,            0.062086,            0.058717,            0.060591,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.039578,             0.02472,                   0,             0.89198,             0.88931,             0.94262,              0.5244,            0.039372,            0.018058,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.040442,            0.024429,                   0,             0.90847,             0.90918,             0.95679,             0.44851,            0.039462,            0.015062,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.038922,            0.023072,                   0,              0.8056,             0.78626,               0.845,             0.43755,            0.044121,             0.01987,                   0,            0.006436,            0.006436,            0.006436
