               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1012,            0.037921,                   0,           0.0053913,             0.70992,           0.0059625,           0.0017099,            0.097093,            0.025067,                   0,              0.0775,              0.0025,              0.0025
                   1,            0.072824,            0.034111,                   0,             0.57654,             0.38974,             0.42299,             0.20308,            0.068368,            0.023284,                   0,             0.05405,           0.0050495,           0.0050495
                   2,            0.068876,            0.028743,                   0,             0.54225,             0.45038,             0.52295,             0.14922,            0.062429,            0.017697,                   0,            0.030548,           0.0075475,           0.0075475
                   3,            0.067912,            0.025884,                   0,             0.37424,             0.60687,             0.54044,             0.23491,            0.052659,            0.035904,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.060557,            0.026687,                   0,             0.46111,             0.68584,             0.52483,             0.20029,            0.050443,            0.019576,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.050182,            0.023719,                   0,             0.87995,             0.87786,             0.94661,             0.53625,            0.037341,            0.023532,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.048045,            0.023153,                   0,              0.7458,             0.87344,             0.84583,             0.47152,            0.035852,            0.017697,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041212,            0.020694,                   0,             0.85104,             0.83969,             0.92581,             0.47077,             0.03071,            0.016115,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.042004,            0.020607,                   0,             0.63572,             0.79008,             0.73392,             0.41305,            0.034201,            0.017252,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.036558,            0.019994,                   0,             0.90341,             0.89313,              0.9445,             0.56684,            0.026286,            0.013359,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.033691,              0.0207,                   0,             0.89705,             0.89796,             0.94534,             0.58006,            0.026695,             0.01431,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.030834,            0.018874,                   0,             0.92307,             0.85115,             0.92457,             0.52849,            0.027136,            0.017269,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.034225,            0.020433,                   0,             0.92142,             0.89313,             0.95775,             0.59158,            0.027125,            0.013579,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033879,            0.021054,                   0,             0.92293,             0.91411,             0.96109,             0.59808,            0.027337,            0.013701,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.030868,            0.018721,                   0,             0.93283,             0.90105,             0.96641,              0.5961,            0.027463,            0.014274,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.031217,            0.018309,                   0,             0.92151,             0.62738,             0.83761,             0.44513,            0.035466,            0.025087,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031483,            0.018609,                   0,             0.93551,             0.93511,             0.97432,             0.60068,            0.024169,            0.011495,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.029551,            0.019869,                   0,             0.93195,             0.96565,              0.9791,             0.64806,            0.023785,            0.010961,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.029353,            0.018608,                   0,             0.87144,              0.9055,              0.9317,             0.58481,            0.024785,            0.015621,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.028023,            0.018982,                   0,             0.86292,             0.81688,             0.91504,             0.53636,            0.029941,            0.018556,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.030851,            0.018647,                   0,             0.93618,             0.67185,             0.86141,             0.39399,            0.036145,            0.023265,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.02707,             0.01829,                   0,             0.92669,             0.93893,             0.97551,             0.62791,            0.023744,            0.011454,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.027297,            0.017318,                   0,             0.89003,             0.93511,             0.96191,             0.60917,            0.023632,            0.012561,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.028823,            0.017495,                   0,             0.88558,             0.91574,             0.94083,             0.59872,            0.024813,            0.014735,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.028234,              0.0185,                   0,             0.91082,             0.89313,              0.9525,             0.63587,            0.023829,             0.01264,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.027074,            0.017132,                   0,              0.9025,             0.91603,             0.96257,             0.63169,            0.024101,            0.012197,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.028212,            0.017613,                   0,             0.92269,             0.95668,             0.97559,             0.64805,            0.022631,            0.011383,                   0,            0.007525,            0.007525,            0.007525
                  27,              0.0272,            0.017468,                   0,             0.93163,             0.93618,             0.98181,             0.65041,            0.022428,            0.011311,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.026524,            0.017131,                   0,             0.89794,              0.9084,             0.95637,             0.53412,            0.025108,            0.012503,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.027812,             0.01751,                   0,             0.91085,             0.82824,             0.93374,             0.57225,            0.025716,            0.014926,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.025803,            0.016789,                   0,              0.9226,             0.90991,             0.96591,              0.6008,            0.026188,            0.013875,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026138,            0.018866,                   0,             0.91064,             0.93511,             0.96892,             0.63308,            0.023001,            0.012318,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.025253,            0.018116,                   0,             0.89333,             0.63928,             0.84616,             0.43644,            0.031216,             0.02657,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.024697,            0.016225,                   0,             0.94014,             0.95912,             0.98311,             0.66528,            0.021627,            0.010819,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.024406,            0.018964,                   0,             0.90932,             0.94275,             0.96917,             0.60692,            0.024074,              0.0134,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.027179,            0.017212,                   0,             0.88681,             0.92705,             0.95837,             0.64509,            0.022121,            0.012264,                   0,            0.006634,            0.006634,            0.006634
